Corp,Corp Name,"Performance Points
 (3-8)","Performance Weight
 (3-8)","Growth Points
 (4-8)","Growth Weight
 (4-8)","Performance Points
 (10)","Performance Weight
 (10)","Growth Points
 (10-12)","Growth Weight
 (10-12)","Mult. Measures Points
 (12)","Mult. Measures Weight
 (12)",Overall Points,Overall Grade
0015,Adams Central Community Schools,70.8,0.302,96.7,0.302,46.4,0.079,115.5,0.079,100.6,0.237,87.2,B
0025,North Adams Community Schools,53.6,0.252,106.1,0.252,64.7,0.099,116.5,0.099,95,0.297,86.4,B
0035,South Adams Schools,68.8,0.308,109.6,0.308,62.2,0.077,96.9,0.077,100,0.231,90.3,A
0125,M S D Southwest Allen County Schls,75,0.293,105.7,0.293,68.2,0.083,116.9,0.083,100.4,0.249,93.3,A
0235,Fort Wayne Community Schools,51.3,0.305,95.5,0.305,37.7,0.078,94.4,0.078,95,0.234,77.3,C
0365,Bartholomew Con School Corp,63.4,0.294,97.3,0.294,53.3,0.082,95,0.082,100.3,0.247,84.2,B
0370,Flat Rock-Hawcreek School Corp,65.3,0.307,109.4,0.307,43.7,0.077,78.9,0.077,100.9,0.232,86.5,B
0395,Benton Community School Corp,64.2,0.3,102.1,0.3,53.1,0.08,123.1,0.08,100.4,0.24,88.1,B
0515,Blackford County Schools,62.3,0.288,93.5,0.288,41.8,0.085,74.1,0.085,100.4,0.254,80.2,B
0615,Western Boone Co Com Sch Dist,66.5,0.301,97,0.301,56.9,0.08,90.8,0.08,100,0.239,84.9,B
0630,Zionsville Community Schools,85.1,0.311,102,0.311,76.1,0.075,108.4,0.075,100.1,0.226,94.7,A
0665,Lebanon Community School Corp,66.5,0.312,98.2,0.312,56.4,0.075,108.2,0.075,100.9,0.226,86.5,B
0670,Brown County School Corporation,69.1,0.282,109.6,0.282,40.1,0.087,94.7,0.087,100.4,0.262,88.4,B
0750,Carroll Consolidated School Corp,60.5,0.302,96.7,0.302,56.9,0.079,121.1,0.079,101.2,0.238,85.6,B
0755,Delphi Community School Corp,65.6,0.303,99.1,0.303,46.9,0.079,100.5,0.079,94.9,0.236,84,B
0775,Pioneer Regional School Corp,55.3,0.308,101.3,0.308,57.4,0.077,124.3,0.077,98.1,0.23,84.8,B
0815,Southeastern School Corp,59.2,0.281,101,0.281,57.1,0.088,126.5,0.088,100.5,0.263,87.6,B
0875,Logansport Community Sch Corp,51.2,0.305,95.2,0.305,40.7,0.078,114.4,0.078,100.6,0.235,80.4,B
0940,West Clark Community Schools,57.7,0.295,108.2,0.295,48.3,0.082,107.5,0.082,100.3,0.246,86.4,B
1000,Clarksville Community School Corp,52.5,0.283,90.7,0.283,37.8,0.087,77.4,0.087,100,0.261,76.7,C
1010,Greater Clark County Schools,61.1,0.302,103.9,0.302,47.5,0.079,110.5,0.079,100.7,0.238,86.3,B
1125,Clay Community Schools,70.8,0.302,101.3,0.302,48.4,0.079,91.8,0.079,101,0.238,87.1,B
1150,Clinton Central School Corporation,57.3,0.311,97.7,0.311,52.2,0.075,115.6,0.075,100,0.226,83.4,B
1160,Clinton Prairie School Corporation,60,0.317,96.1,0.317,47,0.073,111.1,0.073,100,0.22,83,B
1170,Community Schools of Frankfort,46,0.317,90.7,0.317,27.6,0.073,94.6,0.073,100.8,0.22,74.4,C
1180,Rossville Con School District,69.6,0.299,115.6,0.299,57.7,0.08,89,0.08,100,0.241,91.2,A
1300,Crawford County Community Sch Corp,64.7,0.306,98.3,0.306,56.9,0.078,88.5,0.078,93,0.233,82.9,B
1315,Barr-Reeve Community Schools Inc,83.7,0.33,115.9,0.33,76.1,0.068,129,0.068,100,0.204,100.2,A
1375,North Daviess Com Schools,71.2,0.323,105.3,0.323,63.9,0.071,117.8,0.071,100.8,0.213,91.4,A
1560,Sunman-Dearborn Com Sch Corp,70.8,0.287,104.5,0.287,60.1,0.085,116.5,0.085,100.9,0.255,91.1,A
1600,South Dearborn Community Sch Corp,60.3,0.284,98.1,0.284,41.3,0.086,68.4,0.086,95.4,0.259,79.1,C
1620,Lawrenceburg Community School Corp,66.3,0.298,106.8,0.298,51.8,0.081,129,0.081,100,0.243,90.5,A
1655,Decatur County Community Schools,68.5,0.294,95.9,0.294,44.1,0.082,100,0.082,100.4,0.247,85,B
1730,Greensburg Community Schools,62.1,0.286,87.5,0.286,38.1,0.086,71.5,0.086,101.1,0.257,78.2,C
1805,DeKalb Co Eastern Com Sch Dist,60.2,0.317,118.8,0.317,52.7,0.073,106.5,0.073,100,0.22,90.4,A
1820,Garrett-Keyser-Butler Com Sch Corp,61.9,0.292,113.8,0.292,41.1,0.083,83.7,0.083,100.4,0.25,86.8,B
1875,Delaware Community School Corp,71.7,0.287,99.8,0.287,60.2,0.085,103.3,0.085,100,0.256,88.7,B
1885,Wes-Del Community Schools,55.7,0.286,88.3,0.286,46.6,0.085,81.5,0.085,100,0.256,77.7,C
1895,Liberty-Perry Community Sch Corp,63.5,0.29,87.3,0.29,46.5,0.084,107,0.084,100,0.251,81.7,B
1900,Cowan Community School Corp,64.1,0.307,93.6,0.307,58.7,0.077,130.9,0.077,100,0.231,86.1,B
1910,Yorktown Community Schools,68.6,0.295,91.5,0.295,59.6,0.082,115.1,0.082,100.8,0.245,86.3,B
1940,Daleville Community Schools,66.3,0.303,96.6,0.303,61.2,0.079,134.9,0.079,100,0.237,88.6,B
1970,Muncie Community Schools,49.8,0.315,91.7,0.315,36,0.074,91.2,0.074,100.3,0.222,76.3,C
2040,Northeast Dubois Co Sch Corp,74.6,0.298,113.3,0.298,56.4,0.081,95.3,0.081,100.7,0.242,92.7,A
2110,Southwest Dubois Co Sch Corp,65.7,0.297,98.1,0.297,51.3,0.081,84.6,0.081,100.4,0.243,84.1,B
2120,Greater Jasper Consolidated Schs,74.3,0.282,100.1,0.282,58.1,0.087,101.3,0.087,100,0.262,89.2,B
2155,Fairfield Community Schools,68.6,0.324,94.2,0.324,52.5,0.071,96.5,0.071,100,0.212,84.5,B
2260,Baugo Community Schools,63.5,0.301,103.8,0.301,44.7,0.08,95.8,0.08,100.4,0.239,85.6,B
2275,Middlebury Community Schools,65.1,0.305,100.9,0.305,51.9,0.078,84.1,0.078,100.2,0.234,84.7,B
2285,Wa-Nee Community Schools,75.3,0.308,104.2,0.308,59.1,0.077,101.2,0.077,100.5,0.231,90.8,A
2305,Elkhart Community Schools,47.5,0.31,96.5,0.31,41.4,0.076,95,0.076,95.2,0.228,76.7,C
2315,Goshen Community Schools,53.2,0.312,93.5,0.312,42.9,0.075,112,0.075,94.7,0.225,78.7,C
2395,Fayette County School Corporation,66.4,0.293,105.9,0.293,47,0.083,65.1,0.083,100,0.248,84.6,B
2400,New Albany-Floyd Co Con Sch,69,0.297,111.8,0.297,53.2,0.081,90.1,0.081,100.1,0.243,89.6,B
2435,Attica Consolidated School Corp,50.8,0.285,90.2,0.285,42.3,0.086,113.5,0.086,100,0.258,79.4,C
2440,Covington Community School Corp,69.7,0.289,112.1,0.289,53.5,0.085,81.2,0.085,100.7,0.254,89.6,B
2455,Southeast Fountain School Corp,64,0.284,105.1,0.284,44.3,0.086,107.6,0.086,100.6,0.259,87.2,B
2475,Franklin County Community Sch Corp,59.8,0.288,98.2,0.288,49.4,0.085,95.6,0.085,101,0.255,83.6,B
2650,Caston School Corporation,60.3,0.287,85.7,0.287,35.3,0.085,73.1,0.085,95,0.255,75.4,C
2725,East Gibson School Corporation,62.5,0.3,93.4,0.3,47.8,0.08,103.2,0.08,101.5,0.24,83.2,B
2735,North Gibson School Corp,58.8,0.306,98.8,0.306,37,0.078,63.9,0.078,94.8,0.233,78.2,C
2765,South Gibson School Corporation,63.9,0.292,99.2,0.292,76.3,0.083,131.8,0.083,100.9,0.249,90,A
2825,Madison-Grant United School Corp,64.8,0.29,98.1,0.29,51.5,0.084,129.3,0.084,100.6,0.252,87.8,B
2855,Mississinewa Community School Corp,56.3,0.285,89.8,0.285,31.2,0.086,89.7,0.086,100.3,0.258,77.9,C
2865,Marion Community Schools,42.5,0.304,79.8,0.304,36.7,0.079,81.7,0.079,100.2,0.236,70.2,C
2920,Bloomfield School District,65.1,0.326,103.4,0.326,55,0.069,111.6,0.069,100,0.208,87.2,B
2940,Eastern Greene Schools,65.9,0.293,107.1,0.293,57.7,0.083,103.6,0.083,95,0.249,87.7,B
2950,Linton-Stockton School Corporation,62.5,0.325,89,0.325,44.6,0.07,91.1,0.07,100,0.21,79.7,C
2960,M S D Shakamak Schools,58.6,0.312,97.1,0.312,52.8,0.075,131.2,0.075,100,0.226,85,B
2980,White River Valley School District,63.2,0.278,89.1,0.278,39,0.089,94.4,0.089,100.8,0.267,81.1,B
3025,Hamilton Heights School Corp,67.6,0.298,101.2,0.298,51.1,0.081,88.6,0.081,100.3,0.243,86,B
3055,Sheridan Community Schools,66.9,0.293,110,0.293,64.3,0.083,117.3,0.083,100,0.248,91.7,A
3060,Carmel Clay Schools,86.2,0.302,109,0.302,78.8,0.079,118.4,0.079,100.4,0.237,98.3,A
3070,Noblesville Schools,77,0.316,106.2,0.316,57.4,0.074,90.5,0.074,100.5,0.221,91.1,A
3115,Southern Hancock Co Com Sch Corp,72.1,0.295,107.7,0.295,58.6,0.082,91.8,0.082,100,0.246,90,A
3125,Greenfield-Central Com Schools,69.5,0.288,88.2,0.288,51.2,0.085,100.8,0.085,100.4,0.255,83.9,B
3135,Mt Vernon Community School Corp,70.7,0.298,104.5,0.298,55.8,0.081,114.1,0.081,100.8,0.243,90.5,A
3145,Eastern Hancock Co Com Sch Corp,72,0.28,120.7,0.28,58.7,0.088,127.2,0.088,100,0.263,96.6,A
3160,Lanesville Community School Corp,67,0.29,107.4,0.29,51.7,0.084,109.3,0.084,100,0.253,89.4,B
3180,North Harrison Com School Corp,72.9,0.302,99,0.302,60.3,0.079,93.7,0.079,100,0.238,87.9,B
3190,South Harrison Com Schools,72.5,0.302,113.2,0.302,57.4,0.079,120,0.079,100,0.237,93.8,A
3295,North West Hendricks Schools,82.4,0.291,104.6,0.291,56.7,0.083,76.3,0.083,100,0.25,90.5,A
3305,Brownsburg Community School Corp,88.7,0.301,112.9,0.301,74.9,0.08,104.9,0.08,100.1,0.239,99,A
3315,Avon Community School Corp,71.9,0.303,95.6,0.303,63.5,0.079,113.1,0.079,100.1,0.237,88.4,B
3325,Danville Community School Corp,77.1,0.293,106.3,0.293,58.4,0.083,116.1,0.083,100,0.249,93.1,A
3330,Plainfield Community School Corp,85.3,0.301,112.9,0.301,64,0.08,100.9,0.08,100.1,0.239,96.8,A
3335,Mill Creek Community Sch Corp,69.4,0.307,99.4,0.307,62.2,0.077,122.9,0.077,100,0.232,89.3,B
3405,Blue River Valley Schools,63.4,0.308,96.5,0.308,48.8,0.154,0,0,94.1,0.231,78.5,C
3415,South Henry School Corp,51.7,0.279,81.7,0.279,37.3,0.088,82.8,0.088,100,0.265,74.3,C
3435,Shenandoah School Corporation,72.2,0.301,103.2,0.301,60.4,0.08,103.7,0.08,100,0.239,89.8,B
3445,New Castle Community School Corp,60.5,0.297,89,0.297,48.6,0.081,87.7,0.081,100.6,0.244,80,B
3455,C A Beard Memorial School Corp,61.3,0.288,95.1,0.288,35.8,0.085,108.3,0.085,100,0.255,82.8,B
3460,Taylor Community School Corp,44.8,0.283,97,0.283,48.1,0.087,110.8,0.087,92.2,0.261,78,C
3470,Northwestern School Corp,68.5,0.299,103,0.299,59.8,0.08,120,0.08,100,0.241,89.8,B
3480,Eastern Howard School Corporation,64.3,0.294,107.6,0.294,57.7,0.083,126.3,0.083,100,0.248,90.6,A
3490,Western School Corporation,74.9,0.298,109.6,0.298,60.5,0.081,101.6,0.081,100,0.242,92.3,A
3500,Kokomo School Corporation,41.8,0.296,81.6,0.296,31.8,0.082,75.1,0.082,92,0.245,67.8,D
3625,Huntington Co Com Sch Corp,66.1,0.303,101.8,0.303,42.5,0.079,68.2,0.079,100.5,0.236,83.4,B
3640,Medora Community School Corp,38.7,0.275,91.7,0.275,27.1,0.18,0,0,100,0.27,67.7,D
3675,Seymour Community Schools,51.8,0.292,91.9,0.292,36.3,0.083,97.3,0.083,100,0.249,78,C
3695,Brownstown Cnt Com Sch Corp,61,0.269,91.6,0.269,52.7,0.092,108.6,0.092,100.8,0.277,83.8,B
3710,Crothersville Community Schools,66.2,0.31,89.2,0.31,37.1,0.152,0,0,100,0.229,76.7,C
3785,Kankakee Valley School Corp,67.1,0.299,95.8,0.299,43.4,0.08,91.2,0.08,101,0.241,83.8,B
3815,Rensselaer Central School Corp,65.7,0.292,94.1,0.292,52.7,0.083,120,0.083,101.2,0.249,86.2,B
3945,Jay School Corporation,68,0.292,98.3,0.292,48.7,0.083,70.3,0.083,100,0.25,83.4,B
3995,Madison Consolidated Schools,53.4,0.284,90.2,0.284,37.1,0.086,83.8,0.086,95.3,0.259,75.9,C
4000,Southwestern-Jefferson Co Con,50.1,0.324,80.1,0.324,39.4,0.07,82.1,0.07,100,0.211,71.8,C
4015,Jennings County School Corporation,63,0.3,90.5,0.3,51.7,0.08,92.9,0.08,100.3,0.239,81.6,B
4145,Clark-Pleasant Community Sch Corp,71.2,0.315,102.1,0.315,52.9,0.074,97.4,0.074,101,0.223,88.2,B
4205,Center Grove Community School Corp,78.3,0.3,109.1,0.3,62,0.08,94.3,0.08,100.8,0.24,92.9,A
4215,Edinburgh Community School Corp,65.6,0.302,82.2,0.302,39.7,0.079,118.8,0.079,100,0.238,81,B
4225,Franklin Community School Corp,64.5,0.303,90.2,0.303,45.2,0.079,76.1,0.079,100.6,0.236,80.2,B
4245,Greenwood Community Sch Corp,69.8,0.298,102.7,0.298,62.4,0.081,103.6,0.081,100.7,0.242,89.2,B
4255,Nineveh-Hensley-Jackson United,75.5,0.28,102,0.28,53.4,0.088,95,0.088,100.4,0.264,89.3,B
4315,North Knox School Corp,58.2,0.305,95.3,0.305,38.3,0.078,95,0.078,100,0.234,80.6,B
4325,South Knox School Corp,72.5,0.31,97.7,0.31,54.8,0.076,114.8,0.076,100,0.229,88.6,B
4335,Vincennes Community School Corp,57.1,0.321,86.4,0.321,40.1,0.071,91.6,0.071,100.3,0.214,76.9,C
4345,Wawasee Community School Corp,55.9,0.302,84.7,0.302,42.7,0.079,86.2,0.079,94.9,0.238,75.2,C
4415,Warsaw Community Schools,66.3,0.302,96.7,0.302,47.9,0.079,76.5,0.079,100.6,0.237,82.9,B
4445,Tippecanoe Valley School Corp,60.8,0.294,92.5,0.294,48.7,0.082,118.7,0.082,100.3,0.247,83.6,B
4455,Whitko Community School Corp,54.1,0.293,86.1,0.293,41.5,0.083,120.1,0.083,100,0.249,79.4,C
4515,Prairie Heights Community Sch Corp,61.2,0.293,97.7,0.293,67.5,0.083,130.9,0.083,100,0.249,87.9,B
4525,Westview School Corporation,73.7,0.368,111.9,0.368,66.6,0.053,122,0.053,100,0.159,94.2,A
4535,Lakeland School Corporation,56.5,0.313,101.9,0.313,39.8,0.075,90,0.075,92.9,0.224,80.1,B
4580,Hanover Community School Corp,70.5,0.301,104.5,0.301,48.1,0.08,83.5,0.08,100.6,0.239,87.2,B
4590,River Forest Community Sch Corp,48.2,0.316,85.4,0.316,40,0.074,116,0.074,88.3,0.221,73.3,C
4600,Merrillville Community School Corp,59.6,0.284,102.1,0.284,27.7,0.086,89.5,0.086,94.6,0.259,80.5,B
4615,Lake Central School Corporation,69.8,0.288,98.4,0.288,56.6,0.085,115.7,0.085,100.3,0.255,88.7,B
4645,Tri-Creek School Corporation,68.3,0.275,112.3,0.275,52.7,0.09,101.9,0.09,100,0.27,90.6,A
4650,Lake Ridge New Tech Schools,54.2,0.273,96,0.273,21.6,0.091,77.7,0.091,100,0.272,77.3,C
